proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\CLI\ExternalCommandLine.vb,197,38,27,132,1,4,2,4,0,7142,7.14 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\DataSet\CreateObject.vb,88,4,14,70,1,5,1,3,0,3416,3.42 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\DataSet\DeclareNewSymbol.vb,425,80,60,285,1,9,5,6,0,16076,16.08 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\DataSet\DotDotDotSymbol.vb,41,3,8,30,1,2,0,2,0,1255,1.25 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\DataSet\FormulaExpression.vb,112,32,17,63,1,4,1,4,0,3916,3.92 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\DataSet\LinqQuery.vb,122,4,22,96,1,3,1,4,0,4602,4.60 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\DataSet\MemberValueAssign.vb,61,0,11,50,1,4,1,2,0,2439,2.44 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\DataSet\NamespaceFunctionSymbolReference.vb,137,15,22,100,1,5,1,4,0,5624,5.62 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\DataSet\ObjectWith.vb,62,3,11,48,1,3,1,1,0,2245,2.25 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\DataSet\Regexp.vb,97,15,13,69,1,3,1,3,0,3525,3.52 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\DataSet\StringInterpolation.vb,91,8,17,66,1,2,1,3,0,3290,3.29 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\DataSet\SymbolReference.vb,72,7,12,53,1,3,2,3,0,2510,2.51 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\DataSet\Literal\ExpressionLiteral.vb,41,0,9,32,1,3,1,2,0,1367,1.37 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\DataSet\Literal\JSONLiteral.vb,68,6,13,49,1,4,1,2,0,2115,2.12 KB
D:\GCModeller\src\R-sharp\R#\Rsharp-netcore5.vbproj,R#\Interpreter\ExecuteEngine\ExpressionSymbols\DataSet\Literal\Literal.vb,206,27,27,152,1,9,9,2,2,6478,6.48 KB
